Date,New Prod
2007-12-29,210.0
2007-12-30,235.0
2007-12-31,223.0
2008-01-01,177.0
2008-01-02,177.0
2008-01-03,166.0
2008-01-04,150.0
2008-01-05,91.0
2008-01-06,64.0
2008-01-07,70.0
2008-01-08,76.0
2008-01-09,246.0
2008-01-10,141.0
2008-01-11,79.0
2008-01-12,111.0
2008-01-13,244.0
2008-01-14,230.0
2008-01-15,517.0
2008-01-16,429.0
2008-01-17,350.0
2008-01-18,418.0
2008-01-19,368.0
2008-01-20,298.0
2008-01-21,266.0
2008-01-22,249.0
2008-01-23,247.0
2008-01-24,257.0
2008-01-25,223.0
2008-01-26,219.0
2008-01-27,246.0
2008-01-28,252.0
2008-01-29,275.0
2008-01-30,300.0
2008-01-31,223.0
2008-02-01,225.0
2008-02-02,234.0
2008-02-03,195.0
2008-02-04,188.0
2008-02-05,177.0
2008-02-06,183.0
2008-02-07,128.0
2008-02-08,176.0
2008-02-09,147.0
2008-02-10,145.0
2008-02-11,89.0
2008-02-12,176.0
2008-02-13,161.0
2008-02-14,115.0
2008-02-15,82.0
2008-02-16,85.0
2008-02-17,76.0
2008-02-18,67.0
2008-02-19,65.0
2008-02-20,63.0
2008-02-21,196.0
2008-02-22,180.0
2008-02-23,218.0
2008-02-24,176.0
2008-02-25,220.0
2008-02-26,187.0
2008-02-27,178.0
2008-02-28,181.0
2008-02-29,181.0
2008-03-01,183.0
2008-03-02,180.0
2008-03-03,208.0
2008-03-04,170.0
2008-03-05,163.0
2008-03-06,164.0
2008-03-07,164.0
2008-03-08,157.0
2008-03-09,160.0
2008-03-10,157.0
2008-03-11,168.0
2008-03-12,153.0
2008-03-13,167.0
2008-03-14,169.0
2008-03-15,199.0
2008-03-16,186.0
2008-03-17,109.0
2008-03-18,124.0
2008-03-19,126.0
2008-03-20,96.0
2008-03-21,92.0
2008-03-22,67.0
2008-03-23,95.0
2008-03-24,109.0
2008-03-25,93.0
2008-03-26,115.0
2008-03-27,85.0
2008-03-28,142.0
2008-03-29,124.0
2008-03-30,98.0
2008-03-31,42.0
2008-04-01,139.0
2008-04-02,147.0
2008-04-03,149.0
2008-04-04,166.0
2008-04-05,178.0
2008-04-06,608.0
2008-04-07,109.0
2008-04-08,192.0
2008-04-09,526.0
2008-04-10,701.0
2008-04-11,650.0
2008-04-12,627.0
2008-04-13,607.0
2008-04-14,635.0
2008-04-15,564.0
2008-04-16,518.0
2008-04-17,463.0
